No.,Time,Source,Destination,Protocol,Length,Info,Tam paquete
146,1.264902744,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
147,1.275979839,127.0.0.1,127.0.0.1,UDP,112,37154  >  4444 Len=68,68
148,1.295361315,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
149,1.312654431,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
150,1.325783628,127.0.0.1,127.0.0.1,UDP,103,37154  >  4444 Len=59,59
151,1.336629825,127.0.0.1,127.0.0.1,UDP,101,37154  >  4444 Len=57,57
152,1.355474811,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
153,1.432164594,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
154,1.484387832,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
155,1.495652851,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
156,1.506716373,127.0.0.1,127.0.0.1,UDP,105,37154  >  4444 Len=61,61
157,1.524336352,127.0.0.1,127.0.0.1,UDP,105,37154  >  4444 Len=61,61
158,1.527281848,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
159,1.527963218,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
160,1.528914962,127.0.0.1,127.0.0.1,UDP,100,37154  >  4444 Len=56,56
161,1.535055533,127.0.0.1,127.0.0.1,UDP,100,37154  >  4444 Len=56,56
162,1.538317041,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
163,1.539966864,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
164,1.550994428,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
165,1.565601768,127.0.0.1,127.0.0.1,UDP,113,37154  >  4444 Len=69,69
166,1.567700898,127.0.0.1,127.0.0.1,UDP,105,37154  >  4444 Len=61,61
167,1.572662231,127.0.0.1,127.0.0.1,UDP,105,37154  >  4444 Len=61,61
168,1.573499667,127.0.0.1,127.0.0.1,UDP,105,37154  >  4444 Len=61,61
169,1.584543288,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
170,1.595681825,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
171,1.606778535,127.0.0.1,127.0.0.1,UDP,102,37154  >  4444 Len=58,58
172,1.615900428,127.0.0.1,127.0.0.1,UDP,113,37154  >  4444 Len=69,69
173,1.635789270,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
174,1.639633790,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
175,1.651008332,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
176,1.657375962,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
177,1.659833647,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
178,1.675724113,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
179,1.686545698,127.0.0.1,127.0.0.1,UDP,112,37154  >  4444 Len=68,68
180,1.735894448,127.0.0.1,127.0.0.1,UDP,113,37154  >  4444 Len=69,69
181,1.755305543,127.0.0.1,127.0.0.1,UDP,105,37154  >  4444 Len=61,61
182,1.755374766,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
183,1.768283561,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
184,1.780172053,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
185,1.780239552,127.0.0.1,127.0.0.1,UDP,112,37154  >  4444 Len=68,68
186,1.785613803,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
187,1.795798902,127.0.0.1,127.0.0.1,UDP,103,37154  >  4444 Len=59,59
188,1.805741330,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
189,1.816788675,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
190,1.828082269,127.0.0.1,127.0.0.1,UDP,105,37154  >  4444 Len=61,61
191,1.839315141,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
192,1.854861090,127.0.0.1,127.0.0.1,UDP,104,37154  >  4444 Len=60,60
193,1.864625026,127.0.0.1,127.0.0.1,UDP,115,37154  >  4444 Len=71,71
194,1.875813258,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
195,1.885791412,127.0.0.1,127.0.0.1,UDP,102,37154  >  4444 Len=58,58
196,1.892011060,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
197,1.905801299,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
198,1.935858477,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
199,1.952435553,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
200,1.956372237,127.0.0.1,127.0.0.1,UDP,101,37154  >  4444 Len=57,57
201,1.965841961,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
202,1.983083617,127.0.0.1,127.0.0.1,UDP,105,37154  >  4444 Len=61,61
203,1.994886152,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
,,,,,,,
,0.00,,,,,,63
